"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","another_job"
29725.0,"city_40",0.776,"Male","No relevent experience","no_enrollment","Graduate","STEM",15.0,"50-99","Pvt Ltd",5.0,47.0,"not_searching"
666.0,"city_162",0.767,"Male","Has relevent experience","no_enrollment","Masters","STEM",23.0,"50-99","Funded Startup",4.0,8.0,"not_searching"
402.0,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13.0,"<10","Pvt Ltd",5.0,18.0,"searching"
27107.0,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7.0,"50-99","Pvt Ltd",1.0,46.0,"searching"
23853.0,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5.0,"5000-9999","Pvt Ltd",1.0,108.0,"not_searching"
25619.0,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",23.0,"1000-4999","Pvt Ltd",3.0,23.0,"not_searching"
6588.0,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",16.0,"Oct-49","Pvt Ltd",5.0,18.0,"not_searching"
31972.0,"city_159",0.843,"Male","Has relevent experience","no_enrollment","Masters","STEM",11.0,"100-500","Pvt Ltd",1.0,68.0,"not_searching"
19061.0,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",11.0,"100-500","Pvt Ltd",2.0,50.0,"not_searching"
7041.0,"city_40",0.776,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",0.0,"1000-4999","Pvt Ltd",1.0,65.0,"not_searching"
10408.0,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",18.0,"50-99","Funded Startup",2.0,68.0,"searching"
14928.0,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",23.0,"100-500","Pvt Ltd",3.0,40.0,"not_searching"
22293.0,"city_103",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM",19.0,"5000-9999","Pvt Ltd",5.0,141.0,"not_searching"
26966.0,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",23.0,"100-500","Pvt Ltd",5.0,82.0,"not_searching"
26494.0,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree",12.0,"5000-9999","Pvt Ltd",3.0,145.0,"not_searching"
4866.0,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10.0,"Oct-49","Early Stage Startup",2.0,206.0,"not_searching"
10164.0,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Phd","STEM",23.0,"100-500","Pvt Ltd",4.0,42.0,"searching"
2547.0,"city_114",0.926,"Female","Has relevent experience","Full time course","Masters","STEM",16.0,"1000-4999","Public Sector",2.0,14.0,"not_searching"
5590.0,"city_21",0.624,"Male","Has relevent experience","Part time course","Masters","STEM",9.0,"5000-9999","Pvt Ltd",3.0,7.0,"searching"
9006.0,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5.0,"100-500","Pvt Ltd",7.0,87.0,"searching"
25987.0,"city_103",0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",19.0,"10000+","Public Sector",4.0,52.0,"searching"
25103.0,"city_83",0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11.0,"Oct-49","Pvt Ltd",1.0,21.0,"not_searching"
2195.0,"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10.0,"100-500","Pvt Ltd",2.0,102.0,"not_searching"
30533.0,"city_105",0.794,"Male","No relevent experience","no_enrollment","Graduate","Humanities",5.0,"10000+","Pvt Ltd",5.0,26.0,"not_searching"
12253.0,"city_104",0.924,"Male","Has relevent experience","no_enrollment","Graduate","STEM",23.0,"100-500","Pvt Ltd",1.0,45.0,"not_searching"
25296.0,"city_73",0.754,"Male","Has relevent experience","Full time course","Graduate","STEM",2.0,"50-99","Early Stage Startup",2.0,52.0,"not_searching"
18578.0,"city_162",0.767,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",23.0,"100-500","Pvt Ltd",5.0,26.0,"searching"
26516.0,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6.0,"100-500","Pvt Ltd",3.0,25.0,"not_searching"
8433.0,"city_100",0.887,"Male","Has relevent experience","no_enrollment","Masters","Humanities",23.0,"100-500","Pvt Ltd",5.0,48.0,"not_searching"
5878.0,"city_93",0.865,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10.0,"50-99","Pvt Ltd",2.0,142.0,"searching"
25695.0,"city_67",0.855,"Other","No relevent experience","no_enrollment","Masters","Humanities",4.0,"10000+","Pvt Ltd",4.0,13.0,"not_searching"
